,0
0,128
1,177
2,185
3,134
4,127
5,177
6,184
7,131
8,128
9,170
10,184
11,129
12,126
13,170
14,184
15,127
16,118
17,174
18,181
19,135
20,121
21,174
22,183
23,128
24,122
25,167
26,185
27,132
28,123
29,172
30,182
31,137
32,121
33,173
34,188
35,135
36,120
37,172
38,190
39,138
40,120
41,171
42,191
43,141
44,117
45,166
46,189
47,138
48,116
49,172
50,190
51,137
52,115
53,163
54,185
55,142
56,114
57,165
58,187
59,137
60,114
61,161
62,186
63,139
64,114
65,166
66,189
67,142
68,111
69,161
70,187
71,143
72,109
73,162
74,186
75,143
76,118
77,162
78,192
79,148
80,117
81,161
82,189
83,144
84,115
85,158
86,191
87,144
88,117
89,154
90,195
91,145
92,113
93,154
94,193
95,149
96,109
97,157
98,192
99,146
100,112
101,156
102,190
103,146
104,108
105,151
106,187
107,148
108,111
109,154
110,191
111,148
112,114
113,148
114,185
115,151
116,111
117,151
118,190
119,155
120,116
121,153
122,191
123,160
124,113
125,150
126,189
127,156
128,117
129,149
130,194
131,157
132,116
133,152
134,185
135,160
136,114
137,145
138,190
139,159
140,113
141,149
142,185
143,159
144,114
145,145
146,189
147,161
148,115
149,140
150,189
151,160
152,114
153,139
154,192
155,162
156,114
157,144
158,191
159,166
160,110
161,142
162,188
163,167
164,121
165,141
166,191
167,170
168,120
169,141
170,194
171,172
172,117
173,141
174,189
175,170
176,123
177,141
178,191
179,165
180,119
181,137
182,186
183,168
184,113
185,139
186,189
187,171
188,122
189,136
190,188
191,172
192,120
193,138
194,187
195,173
196,123
197,133
198,183
199,169
200,124
201,132
202,186
203,176
204,120
205,133
206,183
207,172
208,124
209,134
210,180
211,176
212,121
213,132
214,181
215,178
216,123
217,131
218,181
219,178
220,119
221,127
222,180
223,173
224,122
225,129
226,178
227,172
228,123
229,129
230,180
231,174
232,128
233,128
234,174
235,176
236,127
237,126
238,173
239,181
240,125
241,123
242,178
243,180
244,129
245,126
246,178
247,175
248,127
249,123
250,177
251,177
252,128
253,123
254,178
255,182
256,130
257,123
258,174
259,181
260,126
261,120
262,169
263,179
264,129
265,118
266,173
267,177
268,132
269,119
270,169
271,181
272,130
273,115
274,172
275,179
276,130
277,118
278,171
279,179
280,135
281,116
282,174
283,184
284,133
285,118
286,172
287,181
288,134
289,119
290,170
291,184
292,134
293,120
294,172
295,181
296,135
297,118
298,170
299,186
300,136
301,111
302,166
303,183
304,131
305,116
306,165
307,187
308,137
309,112
310,160
311,183
312,137
313,111
314,157
315,185
316,134
317,114
318,160
319,189
320,134
321,114
322,160
323,183
324,137
325,113
326,159
327,187
328,136
329,108
330,157
331,187
332,142
333,107
334,154
335,187
336,142
337,107
338,156
339,190
340,137
341,110
342,154
343,183
344,140
345,109
346,151
347,184
348,141
349,107
350,151
351,187
352,143
353,106
354,151
355,186
356,146
357,108
358,150
359,180
360,144
361,107
362,149
363,186
364,142
365,105
366,150
367,186
368,148
369,104
370,145
371,184
372,144
373,111
374,149
375,188
376,150
377,111
378,148
379,187
380,146
381,110
382,141
383,183
384,146
385,111
386,145
387,180
388,148
389,108
390,142
391,182
392,152
393,107
394,144
395,182
396,147
397,110
398,139
399,186
400,154
401,110
402,140
403,184
404,153
405,106
406,138
407,186
408,151
409,108
410,138
411,179
412,156
413,109
414,141
415,184
416,158
417,112
418,132
419,180
420,154
421,106
422,135
423,182
424,158
425,106
426,133
427,182
428,158
429,108
430,136
431,186
432,159
433,109
434,136
435,182
436,157
437,110
438,129
439,183
440,159
441,112
442,132
443,180
444,164
445,111
446,123
447,179
448,164
449,110
450,131
451,181
452,163
453,114
454,125
455,178
456,167
457,114
458,126
459,182
460,163
461,116
462,129
463,179
464,164
465,116
466,133
467,180
468,169
469,113
470,129
471,179
472,164
473,116
474,126
475,177
476,169
477,116
478,123
479,176
480,169
481,119
482,124
483,173
484,170
485,118
486,121
487,176
488,171
489,118
490,124
491,171
492,173
493,120
494,122
495,173
496,170
497,121
498,119
499,172
500,171
501,124
502,123
503,172
504,174
505,121
506,124
507,169
508,176
509,125
510,119
511,172
512,175
513,125
514,119
515,172
516,174
517,122
518,121
519,168
